Administración Aduanera y Comercio Exterior
Administración Educativa
Administración Pública
Agronomía
Antropología
Arquitectura
Artes Dramáticas
Artes Musicales
Artes Plásticas
Audiología
Bibliotecología y Ciencias de la Información
Biología
Ciencias de la Computación e Informática
Ciencias de la Comunicación Colectiva
Ciencias Políticas
Derecho
Dirección de Empresas y Contaduría Pública
Economía
Economía Agrícola y Agronegocios
Educación Especial
Educación Física
Enfermería
Estadística
Estudios Generales
Farmacia
"Filología, Lingüistica y Literatura"
Filosofía
Física y Meteorología
Formación Docente
Geografía
Geología
"Historia, Estudios Sociales y Archívistica"
Imagenología Diagnóstica y Terapéutica
Ingeniería Agrícola y de Biosistemas
Ingeniería Civil
Ingeniería Eléctrica
Ingeniería en Desarrollo Sostenible (Recinto de Turrialba)
Ingeniería Industrial
Ingeniería Mecánica
Ingeniería Química
Ingeniería Topográfica
Lenguas Modernas
Madres y Padres
Matemáticas
Medicina
Microbiología
Nutrición
Odontología
Orientación
Ortoprótesis y Ortopedia
Psicología
Química
Recinto de Guápiles (Sede del Atlántico)
Recinto de Paraíso (Sede del Atlántico)
Recinto de Turrialba (Sede del Atlántico)
Recinto de Limón (Sede del Caribe)
Recinto de Siquirres (Sede del Caribe)
Recinto de Liberia (Sede de Guanacaste)
Recinto de Santa Cruz (Sede de Guanacaste)
Sede Interuniversitaria de Alajuela
Recinto de Grecia (Sede de Occidente)
Recinto de San Ramón (Sede de Occidente)
Sede del Pacífico
Sede del Sur
Residencias
Salud Ambiental
Salud Pública
Sociología
Tecnología de Alimentos
Terapia Física
Trabajo Social
Turismo Ecológico (Recinto de Liberia)
Zootecnia
